timm_vit,64,-1,224,MP,False,218.96617635091147,33917014528,35215376384
timm_vit,32,-1,224,FP,False,795.9373575846354,29691753472,32543604736
timm_vit,64,-1,224,HP,False,178.5622304280599,25896440320,27506245632
timm_vit,64,-1,224,MP,False,219.09496561686197,33917014528,35215376384
timm_vit,128,-1,224,HP,True,395.17803955078125,8395075072,9326034944
hf_clip,64,20,336,MP,False,297.5563557942708,50997602816,51967426560
hf_clip,64,20,336,HP,True,296.5669352213542,6987131392,7746879488
hf_clip,64,20,336,MP,False,298.5992024739583,50997602816,51967426560
timm_vit,256,-1,224,HP,True,764.0618693033854,12887631360,13883146240
hf_clip,32,20,336,FP,False,936.1817626953125,42873586176,43725619200
hf_clip,32,20,336,FP,False,935.3981526692709,42873586176,43725619200
timm_vit,64,-1,224,FP,True,1820.543212890625,12969112576,15697182720
llama_v3_1b,4,1024,-1,MP,False,155.61904907226562,33905681920,34718351360
llama_v3_1b,4,2048,-1,HP,True,234.13575744628906,26837440512,30698110976
hf_clip,128,20,336,HP,True,566.3338216145834,11046971904,11523850240
llama_v3_1b,1,16384,-1,HP,True,616.670654296875,41462429696,50421825536
llama_v3_1b,4,1024,-1,FP,False,720.3073527018229,35534120448,36041654272
llama_v3_1b,8,2048,-1,HP,True,444.23455810546875,46190245888,50417631232
llama_v3_1b,4,4096,-1,HP,True,458.82082112630206,46194874368,50428116992
llama_v3_1b,2,8192,-1,HP,True,525.0587361653646,46200027136,50423922688
llama_v3_1b,4,2048,-1,FP,True,1631.9474690755208,36779910656,40372273152
hf_clip,64,20,336,FP,True,2193.2052408854165,13842534912,14749270016
hf_T5,6,512,-1,MP,False,201.7490234375,34574111744,35171336192
hf_T5,4,1024,-1,HP,False,311.75853474934894,52764175360,54035218432
gemma_2b,8,512,-1,MP,False,263.3283386230469,64216328192,68253908992
gemma_2b,8,1024,-1,HP,False,356.9922281901042,71367079936,78448164864
gemma_2b,2,2048,-1,MP,False,269.9134114583333,64256927744,68176314368
gemma_2b,4,2048,-1,HP,True,407.841796875,48340736000,56176410624
gemma_2b,2,4096,-1,HP,True,424.0311279296875,48382580736,56184799232
gemma_2b,4,1024,-1,FP,True,1605.0409342447917,50190632448,62946017280
gemma_2b,2,2048,-1,FP,True,1640.3769124348958,50190632448,62912462848
llama_v3_1b,8,2048,-1,FP,True,3199.7581380208335,58661881344,67222110208
hf_T5,1,2048,-1,HP,True,351.2830098470052,41739498496,42582671360
hf_T5,2,1024,-1,FP,True,450.40480550130206,36242445312,37232836608
timm_convnext_v2,16,-1,224,FP,False,396.14381917317706,24675775488,26994540544
hf_T5,1,2048,-1,FP,True,624.9614461263021,57503420928,57541656576
timm_convnext_v2,32,-1,224,MP,False,213.63928731282553,30089756672,33189527552
timm_convnext_v2,64,-1,224,HP,False,259.5514424641927,36411833344,38130417664
timm_convnext_v2,64,-1,224,MP,False,389.70264689127606,50659891712,55333355520
timm_convnext_v2,128,-1,224,HP,True,574.5937703450521,17029544960,23028826112
hf_T5,1,2048,-1,HP,True,351.16624959309894,41739498496,42582671360
hf_T5,1,2048,-1,MP,True,419.78307088216144,48319992320,48788144128
timm_convnext_v2,32,-1,224,FP,True,832.6167602539062,15751805440,20751319040
timm_convnext_v2,256,-1,224,HP,True,1099.4342041015625,29537761280,42008051712
timm_convnext_v2,128,-1,224,FP,True,3026.4552408854165,33863601664,50446991360
hf_GPT2,16,512,-1,MP,False,274.55299886067706,47754565632,50453282816
hf_GPT2,16,1024,-1,HP,False,344.7075500488281,53636852224,55641636864
hf_GPT2,8,1024,-1,MP,False,280.3123372395833,47755482624,50608472064
llama_v3_1b,4,4096,-1,HP,True,467.09340413411456,46194874368,50428116992
llama_v3_1b,2,8192,-1,HP,True,513.5990091959635,46200027136,50423922688
llama_v3_1b,8,2048,-1,HP,True,442.38393147786456,46190245888,50417631232
gemma_2b,2,4096,-1,HP,True,423.7381896972656,48382580736,56184799232
gemma_2b,8,512,-1,MP,False,262.48813883463544,64216328192,68253908992
llama_v3_1b,8,2048,-1,HP,True,442.2146504720052,46190245888,50417631232
llama_v3_1b,4,4096,-1,HP,True,468.4796651204427,46194874368,50428116992
